title_link,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
https://www.redfin.com/owner-estimate/fact-check/26391398,/ef3d42c664a8efa688b232fa09c70657_genMid.18363432_0.jpg,3925 SE Harold St,"Portland, OR 97202","$616,154","$622,000",5,2.5,"3,991",1904,SOLD 8/31/18,"NEW PRICE on this RARE AND UNIQUE WOODSTOCK HOME! Spectacular features fill this home from top to bottom. Views, character and charm, history, natural woodwork throughout, leaded glass built in buffet, hardwood floors, french doors leading to sunroom, pocket doors,  3 fireplaces (living room, office, kitchen), sleeping porch, full basement with mother-in-law area, 2 car garage with mechanics pit, and more! [Home Energy Score = 1. HES Report at https://api.greenbuildingregistry.com/report/pdf/R312804-20180226.pdf]",3,Other,Portland Southeast,Multnomah,0.28 Acres,7.0,5.0,6.0,72 / 100,48 / 100,91 / 100
https://www.redfin.com/owner-estimate/fact-check/40356254,/8ddae8d06228cb8f07cc8b2c9082b393_genMid.18286635_0.jpg,3637 SE 28th Ave,"Portland, OR 97202","$481,206","$474,950",3,2.5,"1,615",2017,SOLD 8/20/18,"Steps to the Clinton corridor which features many top-rated eateries and hip shops. These modern homes rests ideally in the Creston/Clinton neighborhood.Offering an easy commute,with many bike & bus routs. Watch as natural light flows through these well thought-out floor plans that feature chefs kitchen,custom cabinets,hardwoods,3 beds, 2.5 baths with a wonderful master suite. This home is a must see.Call your broker today!",2,"Contemporary, 2 Story",Multnomah,18286635,"2,360 Sq. Ft.",5.0,5.0,6.0,83 / 100,57 / 100,96 / 100
https://www.redfin.com/owner-estimate/fact-check/26476835,/240149b3de5c4a5144f7a14dcbb0e5d7_genMid.18302509_0.jpg,1016 SE Umatilla St,"Portland, OR 97202","$619,980","$420,000",3,2,"2,542",1900,SOLD 8/27/18,"Fun & funky Sellwood farmhouse! Looking for space? This is it! 3 bedrooms + 2 bonus rooms + basement! High ceilings and abundant windows create light filled spaces! Tiled kitchen and baths; generous sized rooms; ideal for first time buyer or great investment property! Large private backyard w/patio; long driveway for off street parking; fresh paint & new carpet!  Walk/bike to nearby cafes, parks & busline! Best buy in Sellwood! [Home Energy Score = 1. HES Report at https://api.greenbuildingregistry.com/report/hes/OR10077201-20180731]",3,Farmhouse,Multnomah,18302509,"5,000 Sq. Ft.",8.0,8.0,6.0,91 / 100,39 / 100,94 / 100
https://www.redfin.com/owner-estimate/fact-check/26388440,/e143381a2a67bf2c7da079f3ce0ab984_genMid.18224157_0.jpg,7701 SE 30th Ave,"Portland, OR 97202","$887,301","$936,000",5,2.5,"4,322",1926,SOLD 8/24/18,"A Rarity Find in Eastmoreland.  5 Bedrooms Upstairs!.  First Time on Market in 26 years.  Large & Spacious, Friendly & Welcoming.  Over 4000 Sq Ft.  Multiple French Doors w/ Big,Wide Windows.  Light &Bright Throughout Entire Home!  Hardwoods Throughout.  Formal Living & Dining.  Large Entry.  2 Family Rooms.  Sunroom.  2.5 Baths. Large Kitchen w/Breakfast Nook & Sweet Desk Area.  Huge Lower Level 1406 Sq Ft. Beautiful Private BackYard.",3,English,EASTMORELAND,Multnomah,"7,500 Sq. Ft.",8.0,8.0,6.0,42 / 100,51 / 100,74 / 100
https://www.redfin.com/owner-estimate/fact-check/26624898,/c5b36ca48d3eb250b7d3b555660ae8c4_genMid.18032694_0.jpg,1116 SE Harney St,"Portland, OR 97202","$588,281","$605,000",3,2,"1,970",1912,SOLD 8/23/18,,1,"Bungalow, Craftsman",Multnomah,18032694,"5,000 Sq. Ft.",8.0,8.0,6.0,91 / 100,39 / 100,94 / 100
https://www.redfin.com/owner-estimate/fact-check/26443227,/b26d46677114936aeb3cef02027dddb7_genMid.18207333_0.jpg,735 SE Nehalem St,"Portland, OR 97202","$467,486","$465,900",2,1,"1,238",1927,SOLD 8/20/18,Desirable location within fantastic Sellwood/Moreland neighborhood. Corner lot on dead end/cul-de-sac. Beautifully established landscaping. Mature trees. Hand- chiseled stonework. A lot of yard space with treehouse. Covered patio and porch. Updated plumbing. New double-hung windows. Oak and fir floors. Refinished claw- foot tub. Open and efficient floorplan. Clean and dry basement with finished bonus room and interior garage access.,2,"Bungalow, Old Portland",Sellwood Moreland,Multnomah,"5,000 Sq. Ft.",8.0,8.0,6.0,85 / 100,36 / 100,95 / 100
https://www.redfin.com/owner-estimate/fact-check/26504660,/41d04a3c8c3e156550e28bf1f3b2619b_genMid.18291575_0.jpg,2867 SE Brooklyn St,"Portland, OR 97202","$562,114","$611,200",3,1,"2,608",1916,SOLD 8/06/18,"Relax on the full front porch of this charming 1914 Craftsman bungalow, restored w/original built-ins, wainscot w/ plate rail, picture moldings, high coved ceilings, oak + fir flrs, vintage light fixtures, clawfoot + hex tile floor in bath. Updated w/ cent A/C + hi-eff gas heat, gas fireplace, fresh ext paint, newer double-pane windows + opening skylights. On a quiet tree lined street 4 blocks to Clinton center + 3 blocks to Division. [Home Energy Score = 1. HES Report at https://api.greenbuildingregistry.com/report/pdf/R299411-20180621.pdf]",3,"Bungalow, Craftsman",Multnomah,18291575,"3,800 Sq. Ft.",5.0,5.0,6.0,88 / 100,56 / 100,91 / 100
https://www.redfin.com/owner-estimate/fact-check/26440574,/917d0cff8ccdbd958527c9968ace3ff3_genMid.18181907_0.jpg,3324 SE 24th Ave,"Portland, OR 97202","$363,181","$360,000",2,1,"1,820",1904,SOLD 7/31/18,"A piece of Portland history! Original 1900's Sears kit home. So much potential! Zoned CM2 (commercial mixed use). Partially finished basement with separate entry. Tall ceilings, original woodwork, trim and wood floor. Plumbing in place for 2nd bthrm on the main floor. Bring your contractor and make this the perfect home or investment property. Perfect location for commercial or office space. [Home Energy Score = 2. HES Report at https://api.greenbuildingregistry.com/report/pdf/R122764-20180522.pdf]",2,Old Portland,Multnomah,18181907,"5,000 Sq. Ft.",9.0,5.0,6.0,86 / 100,58 / 100,96 / 100
https://www.redfin.com/owner-estimate/fact-check/26537458,/aea1cd8b2cd28c0c125ca0dc8e37d80d_genMid.18603921_5.jpg,6834 SE 28th Ave,"Portland, OR 97202","$999,115","$892,500",4,3,"4,280",1928,SOLD 7/25/18,"Gorgeous 1920s home w/amazing old world charm! Highly sought prestigious Eastmoreland nghbrhd! Private .25 acre acrss frm Reed College, wlk to max! Airy w/high ceilings & ntrl light. Formal living w/fp, blt-ins & orig hrdwds thrghout, dining w/lead glass windows, coved ceilings, chic cstm ktchn w/nook, ss applncs, ample cabinet space! Offce/bdrm on main. Ovrszd mstr suite, fp, w/lux bath. Huge bonus rm. [Home Energy Score = 1. HES Report at https://api.greenbuildingregistry.com/report/pdf/R152713-20180227.pdf]",3,English,EASTMORELAND,Multnomah,"10,000 Sq. Ft.",8.0,8.0,6.0,40 / 100,50 / 100,71 / 100
https://www.redfin.com/owner-estimate/fact-check/25866109,/bbdf0a743465f37de875490fddff8c40_genMid.18179501_0.jpg,3655 SE Schiller St,"Portland, OR 97202","$495,983","$452,000",2,2,"2,288",1953,SOLD 7/24/18,"Less than a mile to Reed Collage, Eastmorland golf, Woodstock shops and 2 blocks to Trader Joe's. Sweet home full of possibilities. Major updates are done; vinyl windows, gas furnace, electrical panel. Fenced yard, covered patio and vegetable garden. This sweet home is just waiting for your decorative touches to make it your home. Bike Score 84, Walk Score 71.  Home energy score 5",2,1 Story,Multnomah,18179501,"4,600 Sq. Ft.",5.0,5.0,6.0,73 / 100,49 / 100,84 / 100
https://www.redfin.com/owner-estimate/fact-check/26518405,/97fb43242cb6abd7b61c24ab9c8b41cf_genMid.18532810_2.jpg,2821 SE Franklin St,"Portland, OR 97202","$606,118","$615,000",3,2,"2,408",1909,SOLD 6/26/18,"Remodeled with love from top to bottom, with abundant natural light and a floor plan perfect for entertaining. Generous spaces invite you to settle in and start living. Remodeled throughout with custom cabinets, crown molding, marble bathrooms, heated floors and many more amazing touches. Nearby amazing restaurants and shops on both Clinton and Division make this a perfect home for urban living.",3,Bungalow,Multnomah,18532810,"4,000 Sq. Ft.",5.0,5.0,6.0,86 / 100,56 / 100,94 / 100
https://www.redfin.com/owner-estimate/fact-check/26614390,/3c0ed59c7c556df88f7c16289821a451_genMid.18203225_0.jpg,8412 SE 16th Ave,"Portland, OR 97202","$804,199","$846,000",4,4,"3,293",1909,BOUGHT WITH REDFIN 6/25/18,"Best of old & new in this restored & updated Craftsman in coveted Sellwood. Integrity, charm preserved w/beautifully updated baths, kitchen, et.al. respecting the rich architecture of a true Craftsman. Huge master suite. Unique grounds alone worth the trip: new 2-car garage w/studio/ADU potential above, 2 covered porches, fenced, mature plantings, ""Drivable Grass"". Seismic & home energy upgrades: already done! Walkscore 90! [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R267623-20180420.pdf]",3,Craftsman,Multnomah,18203225,"5,000 Sq. Ft.",8.0,8.0,6.0,90 / 100,46 / 100,96 / 100
https://www.redfin.com/owner-estimate/fact-check/26611921,/dae30877c6480459e595fb9cbedf5f9a_genMid.18540170_1.jpg,4444 SE 29th Ave,"Portland, OR 97202","$440,238","$420,000",2,1,"1,608",1925,SOLD 6/15/18,"Open Sunday 4/29 1-3pm. Charming close-in SE bungalow. Light filled living room w/ wood burning fireplace & hardwood floors. Kitchen w/ gorgeous quartz counters, stainless steel appliances and eating area. Lots of potential in the full basement.Beautiful backyard has raised beds and space for summer entertainment. The home is ideally located around the corner from Bird + Bear restaurant and Marigold Coffee and more. [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R126413-20180406.pdf]",2,1 Story,Multnomah,18540170,"5,000 Sq. Ft.",5.0,5.0,6.0,70 / 100,53 / 100,92 / 100
https://www.redfin.com/owner-estimate/fact-check/25809767,/7dc6cf9c8090733aceb474fe4e105fe6_genMid.18584205_0.jpg,1424 SE Lambert St,"Portland, OR 97202","$467,046","$461,000",3,2,"1,008",1974,SOLD 6/14/18,"PRICE ADJUSTED! Immerse yourself in the timeless Sellwood lifestyle! This welcoming, cozy, & intimate 1 level home flows to a peaceful, quiet backyard-your own peaceful sanctuary. Rare xtra long driveway, over sized 1 car gar & ALL appliances included Plus, roof, windows, flooring, H20 heater all new in past 10 yrs. Amazing  23 X 12 covered deck perfect for year round entertaining. Walk anywhere! Open house 5-20, 1-4PM [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R219327-20180123.pdf]",1,"Ranch, 1 Story",Multnomah,18584205,"5,000 Sq. Ft.",8.0,8.0,6.0,93 / 100,44 / 100,83 / 100
https://www.redfin.com/owner-estimate/fact-check/26577186,/3c872db02a426eaf2ab96d06577c3f5f_genMid.18117026_0.jpg,3915 SE Lambert St,"Portland, OR 97202","$557,839","$549,000",2,3,"2,061",1915,BOUGHT WITH REDFIN 6/14/18,"Owner has meticulously maintained & updated almost every surface in this home!  Beautiful cherry hardwoods floors, newer windows, great kitchen w/dining area overlooking the backyard, Master suite w/skylights & ample closet space, living room w/2 sitting areas, sunny front porch, gorgeous backyard with hardscape, retaining walls, deck, patio...so much WOW! [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R115221-20180321.pdf]",3,Bungalow,Multnomah,18117026,"3,900 Sq. Ft.",8.0,8.0,6.0,52 / 100,46 / 100,81 / 100
https://www.redfin.com/owner-estimate/fact-check/109514726,/a49c0b25f3c7fc114d9ac56ccdf7cccd_genMid.17617719_0.jpg,3947 SE 36th Ave,"Portland, OR 97202","$495,468","$495,000",3,2.5,"1,576",2017,SOLD 6/13/18,"Beautiful New Craftsman home! Certified Earth Advantage home with all of the modern conveniences. Master suite with a double sink, tiled shower, walk-in closet. Custom built-ins, slab quartz counters, and stainless appliances. Open, sunny great room with a fireplace. Sustainable, energy efficient, and quality craftsmanship built to perfection. Great location! Walk to parks, restaurants, and shops!",2,Craftsman,CRESTON - KENILWORTH,Multnomah,"2,525 Sq. Ft.",5.0,5.0,6.0,79 / 100,52 / 100,91 / 100
https://www.redfin.com/owner-estimate/fact-check/26552773,/a1d7195ab019b526d0a9dc4776598eb5_genMid.18272178_0.jpg,1235 SE Mall St,"Portland, OR 97202","$464,667","$445,000",3,1.5,"1,613",1900,SOLD 6/11/18,"Flooded with sunshine & good vibes this quaint Brooklyn Bungalow will win your heart!Visit with friends/neighbors on the big welcoming front porch.Inside,open living spaces w/high ceilings,wood floors & period built-ins will delight you.Cozy bedrooms;1 main flr.,2 up. Updated baths.Quiet backyard has something for everyone - room to run,garden + a big sunny deck for summer BBQs. 500 sq. ft. basement w/exterior entrance = great storage! [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R271272-20180411.pdf]",2,Bungalow,Brooklyn,Multnomah,"5,000 Sq. Ft.",5.0,5.0,6.0,72 / 100,57 / 100,92 / 100
https://www.redfin.com/owner-estimate/fact-check/26336053,/d2196cc3070b02d316a30fcac1d2cd20_genMid.18190916_4.jpg,2724 SE Kelly St,"Portland, OR 97202","$492,725","$485,000",3,1.5,"2,240",1929,SOLD 6/11/18,"Enchanting PDX Bungalow in Prime SE location on .11 acres! Inviting front porch, covered entry w bench. Classic details include refinished hardwoods, wood burning fireplace, built-in cabinetry, lighting. New interior paint. New flooring in kitchen. Two bedrooms; vintage full bath on main. Loft & third bedroom up w updated half bath. Full basement. Detached garage. Fenced backyard w grass, raised beds, patio. Close to SE Division! [Home Energy Score = 3. HES Report at https://api.greenbuildingregistry.com/report/pdf/R299376-20180315.pdf]",3,Bungalow,HOSFORD-ABERNATHY,Multnomah,"5,000 Sq. Ft.",9.0,5.0,6.0,87 / 100,57 / 100,93 / 100
https://www.redfin.com/owner-estimate/fact-check/26616158,/e8cdf29026d820215bafcd957e446b7e_genMid.18121451_0.jpg,2524 SE 38th Ave,"Portland, OR 97202","$636,309","$685,000",3,2,"2,382",1924,SOLD 6/06/18,"Gorgeous Richmond Retreat offers the ultimate urban experience just off of Division. Incredible remodeled kitchen blends modern details with vintage flair. Beautiful open living/dining room with original built-ins, hardwoods & fireplace. 2 beds on main. Spacious master suite with adjacent den/nursery/yoga room.  Lovingly landscaped. Fenced/private back yard with perfect back patio for summer fun. Walk/bike to everything!!! [Home Energy Score = 1. HES Report at https://api.greenbuildingregistry.com/report/pdf/R254880-20180425.pdf]",3,"Bungalow, Craftsman",Multnomah,18121451,"3,735 Sq. Ft.",9.0,5.0,6.0,88 / 100,52 / 100,100 / 100
https://www.redfin.com/owner-estimate/fact-check/113029268,/5b205bfb07678f800777de76b48e71c9_genMid.18418202_0.jpg,3728 SE 26th Ave,"Portland, OR 97202","$482,364","$480,000",3,2.5,"1,663",2018,SOLD 5/31/18,,2,"Contemporary, 2 Story",Portland Southeast,Multnomah,"2,500 Sq. Ft.",5.0,5.0,6.0,75 / 100,57 / 100,95 / 100
https://www.redfin.com/owner-estimate/fact-check/26418544,/df44d97859141cdefcd2240d637efcb6_genMid.18565090_0.jpg,5335 SE 34th Ave,"Portland, OR 97202","$610,164","$613,000",5,2.5,"2,577",1947,SOLD 5/21/18,Charming 1947 Cape Cod home in highly desired Eastmoreland/Reed College location.  Front door opens to open living room/dining room area with hardwood floors and focus on the wood burning fireplace.  Adjacent to dining room is a bright updated kitchen.  Finished basement with oversized laundry/craft room and separate game room.  Rear property without obstruction opens to park like setting with views of the SW Hills. Updates throughout. [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R253085-20171228.pdf],3,Capecod,EAST MORELAND,Multnomah,2,5.0,5.0,6.0,45 / 100,48 / 100,86 / 100
https://www.redfin.com/owner-estimate/fact-check/26616129,/729d8ad4eeec543172867cd0dd645306_genMid.18266091_0.jpg,3834 SE Crystal Springs Blvd,"Portland, OR 97202","$492,227","$490,000",3,2,"1,489",1952,SOLD 5/21/18,"OPEN SAT 3/31 1-3pm. Best-priced 3 bed+2 bath home in coveted Duniway School district in Eastmoreland. Charmer with coved ceilings in living room, hardwood floors, Marmoleum throughout. Unique master with sitting room & fireplace! Upstairs could be private suite. Private backyard with beautiful raised garden beds & playhouse. All appliances included. 95% hi-efficiency gas furnace & 98% efficient tankless water heater, A/C. Near parks. [Home Energy Score = 6. HES Report at https://api.greenbuildingregistry.com/report/pdf/R115384-20180321.pdf]",2,Cottage,Multnomah,18266091,"5,000 Sq. Ft.",8.0,8.0,6.0,49 / 100,48 / 100,83 / 100
https://www.redfin.com/owner-estimate/fact-check/25851328,/3edf6329709752f3ad1b5bccb7848c95_genMid.18685196_0.jpg,7634 SE 20th Ave,"Portland, OR 97202","$596,091","$619,000",3,2,"1,922",1925,SOLD 4/30/18,"Tastefully remodeled English style in Westmoreland. Master suite has walk-in closet, skylights & double vanities. Beautifully refinished floors throughout main level. Dining room with French door that leads to covered deck for year round outdoor space & entertaining. Remodeled kitchen and bathrooms. Private, fenced backyard. Detached garage plus ample off street parking on enclosed driveway. Few Blocks to park, shops & cafes! [Home Energy Score = 2. HES Report at https://api.greenbuildingregistry.com/report/pdf/R304207-20180305.pdf]",3,English,Multnomah,18685196,"5,000 Sq. Ft.",8.0,8.0,6.0,75 / 100,49 / 100,99 / 100
https://www.redfin.com/owner-estimate/fact-check/26424068,/6b4e231c40dbff3b0287fa8ae8b7d465_genMid.18638095_3.jpg,3708 SE Liebe St,"Portland, OR 97202","$465,208","$441,854",3,1,"2,242",1924,SOLD 4/27/18,"Location, location, location! So much potential in this Reed/Woodstock neighborhood bungalow w/ good bones. Original features include fir floors & trim, sash windows, & siding. Ready for cosmetic changes to restore it to its heyday of yesteryear! Full unfinished basement w/excellent clearance & room for expansion. Off-street parking access from 37th Street. Walk score 61, bike score 79. Close to Woodstock,Trader Joes, Reed. [Home Energy Score = 2. HES Report at https://api.greenbuildingregistry.com/report/pdf/R266470-20180314.pdf]",3,Bungalow,Multnomah,18638095,"5,000 Sq. Ft.",5.0,5.0,6.0,70 / 100,47 / 100,89 / 100
https://www.redfin.com/owner-estimate/fact-check/26477085,/84d4e8c0d02bac680be8c5489e39c220_genMid.18378848_0.jpg,3679 SE Martins St,"Portland, OR 97202","$922,285","$930,000",4,2.5,"2,767",2017,SOLD 4/25/18,"Amazing 2017 LEED certified Renaissance Home on full lot in fantastic Eastmoreland. This home has it all-4 beds + bonus room + office, functional floorplan, top of line finishes, AC, tankless H2O heater, attached 2-car gar & timeless style! Entertain effortlessly in the dream kitchen & lg covered deck overlooking serene yard. Master retreat w/ soaking tub, airy shower & walk-in closet. Fantastic schools, shops & restaurants minutes away [Home Energy Score = 8. HES Report at https://api.greenbuildingregistry.com/report/pdf/R258074-20180307.pdf]",2,"Old Portland, Craftsman",Multnomah,18378848,"5,000 Sq. Ft.",8.0,8.0,6.0,75 / 100,48 / 100,86 / 100
,/e3b0af125cfbcbc456b9ec2e11c19ea8_genMid.18057081_0.jpg,7605 SE 22nd Ave,"Portland, OR 97202",,"$501,000",1,,"3,142","4,791 Sq. Ft.",SOLD 4/25/18,"Architecturally significant Westmoreland English in Prime location. Beautiful views of the park and creek. Just blocks to shops, restaurants, boutiques and all of the fun. Features large proportionate rooms on the main floor, hardwood flooring and mahogany woodwork, original built-ins and hardware throughout. Great basement with bonus room and high ceilings. Large unfinished 500 square foot attic. Rare 2 car garage. [Home Energy Score = 3. HES Report at https://api.greenbuildingregistry.com/report/pdf/R304228-20180322.pdf]",3,"English, 2 Story",WESTMORELAND / SELLWOOD,Multnomah,"5,000 Sq. Ft.",8.0,8.0,6.0,71 / 100,50 / 100,98 / 100
https://www.redfin.com/owner-estimate/fact-check/26464727,/c86ba618aa2ff22403bc042c9ec747a1_genMid.17192544_A.jpg,7504 SE Cesar E Chavez Blvd,"Portland, OR 97202","$432,157","$425,000",3,1.5,"1,816",1924,SOLD 4/20/18,,2,Bungalow,Multnomah,17192544,500 Sq. Ft.,8.0,8.0,6.0,56 / 100,45 / 100,77 / 100
